
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   15:00:54  DEC 06, 2025 CP=      1.875

 simulazioneTrasduttoreUltrasonicoConConcentratore--Harmonic Response (E3)     



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    46500.       0.00000       0.00000      -1283.66       0.00000     
    46600.       0.00000       0.00000      -1280.21       0.00000     
    46700.       0.00000       0.00000      -1276.79       0.00000     
    46800.       0.00000       0.00000      -1273.38       0.00000     
    46900.       0.00000       0.00000      -1270.00       0.00000     
    47000.       0.00000       0.00000      -1266.63       0.00000     
    47100.       0.00000       0.00000      -1263.29       0.00000     
    47200.       0.00000       0.00000      -1259.95       0.00000     
    47300.       0.00000       0.00000      -1256.64       0.00000     
    47400.       0.00000       0.00000      -1253.34       0.00000     
    47500.       0.00000       0.00000      -1250.06       0.00000     
    47600.       0.00000       0.00000      -1246.79       0.00000     
    47700.       0.00000       0.00000      -1243.54       0.00000     
    47800.       0.00000       0.00000      -1240.30       0.00000     
    47900.       0.00000       0.00000      -1237.08       0.00000     
    48000.       0.00000       0.00000      -1233.87       0.00000     
    48100.       0.00000       0.00000      -1230.67       0.00000     
    48200.       0.00000       0.00000      -1227.48       0.00000     
    48263.       0.00000       0.00000      -1225.48       0.00000     
    48300.       0.00000       0.00000      -1224.31       0.00000     
    48400.       0.00000       0.00000      -1221.14       0.00000     
    48500.       0.00000       0.00000      -1217.99       0.00000     
    48600.       0.00000       0.00000      -1214.84       0.00000     
    48700.       0.00000       0.00000      -1211.71       0.00000     
    48800.       0.00000       0.00000      -1208.58       0.00000     
    48900.       0.00000       0.00000      -1205.47       0.00000     
    49000.       0.00000       0.00000      -1202.36       0.00000     
    49100.       0.00000       0.00000      -1199.25       0.00000     
    49200.       0.00000       0.00000      -1196.16       0.00000     
