!Keysight Technologies,E4990A,MY54403861,A.04.00
!Date: Wed Mar 26 11:24:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+9.87575000000e+005, +1.23078405271e+001, -7.07388301579e+001
+9.87687500000e+005, +1.21430307472e+001, -7.04017276051e+001
+9.87800000000e+005, +1.19790895559e+001, -7.00536820470e+001
+9.87912500000e+005, +1.18151041687e+001, -6.96921610183e+001
+9.88025000000e+005, +1.16514385623e+001, -6.93186995776e+001
+9.88137500000e+005, +1.14888159828e+001, -6.89361093920e+001
+9.88250000000e+005, +1.13254649690e+001, -6.85345080577e+001
+9.88362500000e+005, +1.11636072536e+001, -6.81278835629e+001
+9.88475000000e+005, +1.10012856221e+001, -6.77046755168e+001
+9.88587500000e+005, +1.08397647716e+001, -6.72668167521e+001
+9.88700000000e+005, +1.06785855123e+001, -6.68199051386e+001
+9.88812500000e+005, +1.05168112766e+001, -6.63533853124e+001
+9.88925000000e+005, +1.03559988885e+001, -6.58737594196e+001
+9.89037500000e+005, +1.01957308082e+001, -6.53758934125e+001
+9.89150000000e+005, +1.00345766785e+001, -6.48611753275e+001
+9.89262500000e+005, +9.87415763110e+000, -6.43231662365e+001
+9.89375000000e+005, +9.71446653040e+000, -6.37676949854e+001
+9.89487500000e+005, +9.55519241032e+000, -6.31910338271e+001
+9.89600000000e+005, +9.39609913168e+000, -6.25895808637e+001
+9.89712500000e+005, +9.23782388416e+000, -6.19629646200e+001
+9.89825000000e+005, +9.08066214767e+000, -6.13109298639e+001
+9.89937500000e+005, +8.92416780030e+000, -6.06310441056e+001
+9.90050000000e+005, +8.76850109976e+000, -5.99273998299e+001
+9.90162500000e+005, +8.61369739137e+000, -5.91852620489e+001
+9.90275000000e+005, +8.46072166581e+000, -5.84189843685e+001
+9.90387500000e+005, +8.30877320777e+000, -5.76212057170e+001
+9.90500000000e+005, +8.15851266842e+000, -5.67864592455e+001
+9.90612500000e+005, +8.00953929695e+000, -5.59110625037e+001
+9.90725000000e+005, +7.86248383539e+000, -5.50041978922e+001
+9.90837500000e+005, +7.71738397934e+000, -5.40568779757e+001
+9.90950000000e+005, +7.57371312041e+000, -5.30625810400e+001
+9.91062500000e+005, +7.43354263203e+000, -5.20280961192e+001
+9.91175000000e+005, +7.29464120565e+000, -5.09540507649e+001
+9.91287500000e+005, +7.15844656329e+000, -4.98163551786e+001
+9.91400000000e+005, +7.02505891023e+000, -4.86469163251e+001
+9.91512500000e+005, +6.89486498092e+000, -4.74156145164e+001
+9.91625000000e+005, +6.76771137905e+000, -4.61288596129e+001
+9.91737500000e+005, +6.64435197662e+000, -4.47899533667e+001
+9.91850000000e+005, +6.52542904573e+000, -4.33902267460e+001
+9.91962500000e+005, +6.41050247591e+000, -4.19325228903e+001
+9.92075000000e+005, +6.30108250074e+000, -4.04133721170e+001
+9.92187500000e+005, +6.19627544962e+000, -3.88495557874e+001
+9.92300000000e+005, +6.09708446149e+000, -3.72206287511e+001
+9.92412500000e+005, +6.00315097146e+000, -3.55444258031e+001
+9.92525000000e+005, +5.91465800739e+000, -3.38157462681e+001
+9.92637500000e+005, +5.83115761429e+000, -3.20382402502e+001
+9.92750000000e+005, +5.75332848383e+000, -3.01905843262e+001
+9.92862500000e+005, +5.68055953462e+000, -2.83088946075e+001
+9.92975000000e+005, +5.61450514046e+000, -2.63592560009e+001
+9.93087500000e+005, +5.55411682752e+000, -2.43589058433e+001
+9.93200000000e+005, +5.50140404122e+000, -2.23026320497e+001
+9.93312500000e+005, +5.45595589111e+000, -2.01926464648e+001
+9.93425000000e+005, +5.41913439347e+000, -1.80505257186e+001
